iter	Passed	Remaining
623	5495	3311
624	5504	3302
625	5512	3293
626	5521	3284
627	5530	3275
628	5538	3266
629	5547	3257
630	5556	3249
631	5564	3240
632	5573	3231
633	5581	3222
634	5590	3213
635	5598	3204
636	5607	3195
637	5615	3186
638	5624	3177
639	5632	3168
640	5641	3159
641	5649	3150
642	5658	3141
643	5667	3132
644	5677	3124
645	5685	3115
646	5694	3107
647	5703	3098
648	5712	3089
649	5721	3080
650	5729	3071
651	5739	3063
652	5748	3054
653	5757	3045
654	5765	3036
655	5774	3028
656	5782	3018
657	5791	3010
658	5800	3001
659	5808	2992
660	5817	2983
661	5826	2974
662	5834	2965
663	5843	2957
664	5851	2947
665	5860	2939
666	5869	2930
667	5878	2921
668	5887	2912
669	5895	2903
670	5904	2895
671	5913	2886
672	5921	2877
673	5930	2868
674	5939	2859
675	5948	2850
676	5956	2842
677	5965	2833
678	5973	2824
679	5982	2815
680	5991	2806
681	5999	2797
682	6009	2788
683	6017	2780
684	6026	2771
685	6035	2762
686	6044	2753
687	6052	2744
688	6061	2736
689	6070	2727
690	6079	2718
691	6087	2709
692	6096	2700
693	6105	2692
694	6114	2683
695	6123	2674
696	6132	2666
697	6141	2657
698	6150	2648
699	6159	2639
700	6167	2630
701	6176	2622
702	6186	2613
703	6195	2605
704	6206	2596
705	6216	2588
706	6225	2580
707	6235	2571
708	6244	2563
709	6254	2554
710	6263	2545
711	6272	2537
712	6282	2528
713	6291	2520
714	6300	2511
715	6309	2502
716	6319	2494
717	6328	2485
718	6338	2477
719	6346	2468
720	6355	2459
721	6365	2450
722	6374	2442
723	6383	2433
724	6391	2424
725	6401	2415
726	6410	2407
727	6419	2398
728	6428	2389
729	6437	2380
730	6446	2372
731	6454	2363
732	6463	2354
733	6472	2345
734	6481	2336
735	6490	2328
736	6499	2319
737	6507	2310
738	6516	2301
739	6526	2292
740	6534	2284
741	6543	2275
742	6552	2266
743	6561	2257
744	6570	2249
745	6579	2240
746	6588	2231
747	6596	2222
748	6605	2213
749	6614	2204
750	6622	2195
751	6631	2187
752	6640	2178
753	6649	2169
754	6658	2160
755	6666	2151
756	6675	2142
757	6684	2134
758	6693	2125
759	6701	2116
760	6710	2107
761	6719	2098
762	6728	2089
763	6737	2081
764	6746	2072
765	6755	2063
766	6763	2054
767	6772	2045
768	6781	2037
769	6790	2028
770	6799	2019
771	6808	2010
772	6817	2002
773	6827	1993
774	6835	1984
775	6844	1975
776	6853	1966
777	6862	1958
778	6871	1949
779	6879	1940
780	6888	1931
781	6897	1922
782	6906	1913
783	6914	1905
784	6923	1896
785	6932	1887
786	6941	1878
787	6950	1870
788	6959	1861
789	6968	1852
790	6977	1843
791	6986	1834
792	6995	1826
793	7005	1817
794	7014	1808
795	7024	1800
796	7034	1791
797	7044	1783
798	7053	1774
799	7062	1765
800	7070	1756
801	7079	1747
802	7089	1739
803	7098	1730
804	7106	1721
805	7115	1712
806	7124	1703
807	7134	1695
808	7143	1686
809	7152	1677
810	7161	1668
811	7171	1660
812	7180	1651
813	7190	1642
814	7200	1634
815	7210	1625
816	7219	1617
817	7228	1608
818	7237	1599
819	7246	1590
820	7255	1581
821	7264	1573
822	7273	1564
823	7282	1555
824	7292	1546
825	7301	1538
826	7310	1529
827	7319	1520
828	7328	1511
829	7337	1502
830	7346	1494
831	7355	1485
832	7363	1476
833	7372	1467
834	7381	1458
835	7389	1449
836	7398	1440
837	7407	1431
838	7416	1423
839	7425	1414
840	7433	1405
841	7442	1396
842	7451	1387
843	7460	1378
844	7468	1369
845	7477	1361
846	7486	1352
847	7494	1343
848	7503	1334
849	7512	1325
850	7520	1316
851	7529	1307
852	7538	1299
853	7546	1290
854	7556	1281
855	7566	1272
856	7575	1264
857	7584	1255
858	7593	1246
859	7603	1237
860	7613	1229
861	7622	1220
862	7631	1211
863	7640	1202
864	7650	1193
865	7659	1185
866	7668	1176
867	7677	1167
868	7686	1158
869	7696	1150
870	7704	1141
871	7713	1132
872	7721	1123
873	7731	1114
874	7740	1105
875	7749	1096
876	7757	1088
877	7766	1079
878	7775	1070
879	7784	1061
880	7793	1052
881	7802	1043
882	7810	1034
883	7819	1026
884	7828	1017
885	7837	1008
886	7846	999
887	7855	990
888	7863	981
889	7872	972
890	7881	964
891	7889	955
892	7897	946
893	7906	937
894	7914	928
895	7923	919
896	7931	910
897	7940	901
898	7949	893
899	7957	884
900	7966	875
901	7974	866
902	7983	857
903	7991	848
904	8000	839
905	8009	830
906	8017	822
907	8026	813
908	8034	804
909	8043	795
910	8051	786
911	8060	777
912	8069	768
913	8077	760
914	8086	751
915	8095	742
916	8104	733
917	8112	724
918	8121	715
919	8129	706
920	8138	698
921	8146	689
922	8155	680
923	8163	671
924	8171	662
925	8180	653
926	8188	644
927	8197	636
928	8206	627
929	8215	618
930	8223	609
931	8232	600
932	8241	591
933	8250	582
934	8259	574
935	8267	565
936	8276	556
937	8284	547
938	8293	538
939	8301	529
940	8310	521
941	8318	512
942	8327	503
943	8336	494
944	8345	485
945	8353	476
946	8361	467
947	8370	459
948	8379	450
949	8388	441
950	8397	432
951	8405	423
952	8414	414
953	8422	406
954	8431	397
955	8440	388
956	8448	379
957	8457	370
958	8466	361
959	8475	353
960	8483	344
961	8492	335
962	8500	326
963	8508	317
964	8517	308
965	8525	300
966	8534	291
967	8542	282
968	8550	273
969	8559	264
970	8567	255
971	8576	247
972	8584	238
973	8593	229
974	8601	220
975	8610	211
976	8620	202
977	8628	194
978	8637	185
979	8646	176
980	8655	167
981	8663	158
982	8672	149
983	8680	141
984	8689	132
985	8697	123
986	8706	114
987	8714	105
988	8723	97
989	8731	88
990	8740	79
991	8749	70
992	8758	61
993	8767	52
994	8775	44
995	8784	35
996	8792	26
997	8801	17
998	8809	8
999	8818	0
